"contrast","estimate","SE","df","t.ratio","p.value","Trait","CV","Panel"
"M4 - M3",0.0284772933256167,0.0253522059186243,147,1.12326688324572,0.675792564454625,"YPPlnt","CV00","haplotype-tagged"
"M4 - M1",0.118458549069639,0.00896899341397833,147,13.207563391118,2.33146835171283e-15,"YPPlnt","CV1","genome-wide"
"M4 - M2",-0.0189281175970281,0.00896899341397833,147,-2.11039485964259,0.15459374633025,"YPPlnt","CV1","genome-wide"
"M4 - M3",-0.00353522870813915,0.00896899341397833,147,-0.394161144396587,0.979160341740805,"YPPlnt","CV1","genome-wide"
"M4 - M1",0.082340457023724,0.0113649407784923,147.000000000001,7.24512856059485,1.35181754679081e-10,"YPPlnt","CV1","haplotype-tagged"
"M4 - M2",-0.0309928763096094,0.0113649407784923,147.000000000001,-2.72706008008964,0.0357041691931627,"YPPlnt","CV1","haplotype-tagged"
"M4 - M3",0.00266334591261286,0.0113649407784923,147.000000000001,0.23434753990563,0.995450248371733,"YPPlnt","CV1","haplotype-tagged"
"M4 - M1",0.0209250403040372,0.00367930076164375,147,5.68723289005838,4.02471515781322e-07,"YPPlnt","CV2","genome-wide"
"M4 - M2",-0.00357918191818522,0.00367930076164375,147,-0.97278862209302,0.765134136259059,"YPPlnt","CV2","genome-wide"
"M4 - M3",0.00670681808181488,0.00367930076164375,147,1.82285127427815,0.26676955689927,"YPPlnt","CV2","genome-wide"
"M4 - M1",0.00923136250092904,0.00310367248582172,146.999999999997,2.97433525705434,0.0178597483677336,"YPPlnt","CV2","haplotype-tagged"
"M4 - M2",0.00257114027870669,0.00310367248582172,146.999999999998,0.828418684784635,0.840907766935054,"YPPlnt","CV2","haplotype-tagged"
"M4 - M3",0.0098869180564845,0.00310367248582172,146.999999999998,3.18555456532549,0.00945567950745385,"YPPlnt","CV2","haplotype-tagged"
