"CV","Trait","Panel","Model","PA","SD","N"
"CV2","DTF","haplotype-tagged","M4",0.599392705847054,0.0394536409308188,50
"CV2","DTM","genome-wide","M1",0.475950888888889,0.0367851130301371,50
"CV2","DTM","genome-wide","M2",0.489105333333333,0.0357626364236583,50
"CV2","DTM","genome-wide","M3",0.480946,0.0334242027481955,50
"CV2","DTM","genome-wide","M4",0.48293426555928,0.0339685108992375,50
"CV2","DTM","haplotype-tagged","M1",0.475950888888889,0.0367851130301371,50
"CV2","DTM","haplotype-tagged","M2",0.478986666666667,0.0360149282477328,50
"CV2","DTM","haplotype-tagged","M3",0.485288444444444,0.0341663043293288,50
"CV2","DTM","haplotype-tagged","M4",0.479701482589893,0.0351905217399013,50
"CV2","HSW","genome-wide","M1",0.742154666666667,0.0325980006899134,50
"CV2","HSW","genome-wide","M2",0.747522666666667,0.0340448782676041,50
"CV2","HSW","genome-wide","M3",0.742513777777778,0.0333975373784931,50
"CV2","HSW","genome-wide","M4",0.741710244405515,0.0335448713129595,50
"CV2","HSW","haplotype-tagged","M1",0.742154666666667,0.0325980006899134,50
"CV2","HSW","haplotype-tagged","M2",0.744384222222222,0.0330541281034802,50
"CV2","HSW","haplotype-tagged","M3",0.744337111111111,0.0323801101361052,50
"CV2","HSW","haplotype-tagged","M4",0.743185122038033,0.0319211433454024,50
"CV2","PH","genome-wide","M1",0.557836666666667,0.046482133112247,50
"CV2","PH","genome-wide","M2",0.568590222222222,0.0462172099933746,50
"CV2","PH","genome-wide","M3",0.570657111111111,0.0452961931032817,50
"CV2","PH","genome-wide","M4",0.575630118632517,0.044457342095992,50
"CV2","PH","haplotype-tagged","M1",0.557836666666667,0.046482133112247,50
"CV2","PH","haplotype-tagged","M2",0.563660666666667,0.0457832956964373,50
"CV2","PH","haplotype-tagged","M3",0.568024,0.045910111675358,50
"CV2","PH","haplotype-tagged","M4",0.559848230608843,0.0477225125367066,50
"CV2","PPP","genome-wide","M1",0.140767777777778,0.0465761653086117,50
"CV2","PPP","genome-wide","M2",0.186995777777778,0.0428544991477362,50
"CV2","PPP","genome-wide","M3",0.179709333333333,0.0462426466060254,50
"CV2","PPP","genome-wide","M4",0.165751088478198,0.0434937196492082,50
"CV2","PPP","haplotype-tagged","M1",0.140767777777778,0.0465761653086117,50
"CV2","PPP","haplotype-tagged","M2",0.155542666666667,0.0447295474830655,50
"CV2","PPP","haplotype-tagged","M3",0.164040666666667,0.0405345846199877,50
"CV2","PPP","haplotype-tagged","M4",0.160791060468501,0.0459763209181727,50
"CV2","YPPlnt","genome-wide","M1",0.111825555555556,0.0553107376867435,50
"CV2","YPPlnt","genome-wide","M2",0.136329777777778,0.0530544012382888,50
"CV2","YPPlnt","genome-wide","M3",0.126043777777778,0.0530118699377393,50
"CV2","YPPlnt","genome-wide","M4",0.132750595859593,0.0535847749861517,50
"CV2","YPPlnt","haplotype-tagged","M1",0.111825555555556,0.0553107376867435,50
"CV2","YPPlnt","haplotype-tagged","M2",0.118485777777778,0.0542575130516481,50
"CV2","YPPlnt","haplotype-tagged","M3",0.11117,0.0574971207775418,50
"CV2","YPPlnt","haplotype-tagged","M4",0.121056918056484,0.0597686569481713,50
