"Model","Panel","Trait","CV","Repetition","Fold","PA"
"M2","haplotype-tagged","PH","CV1","2","1",0.4846
"M3","haplotype-tagged","PH","CV1","2","1",0.459677777777778
"M2","genome-wide","PPP","CV1","2","1",0.230377777777778
"M3","genome-wide","PPP","CV1","2","1",0.2716
"M2","haplotype-tagged","PPP","CV1","2","1",0.150477777777778
"M3","haplotype-tagged","PPP","CV1","2","1",0.216255555555556
"M2","genome-wide","YPPlnt","CV1","2","1",0.161533333333333
"M3","genome-wide","YPPlnt","CV1","2","1",0.141333333333333
"M2","haplotype-tagged","YPPlnt","CV1","2","1",0.173577777777778
"M3","haplotype-tagged","YPPlnt","CV1","2","1",0.119055555555556
"M2","genome-wide","DTF","CV2","2","1",0.5992
"M3","genome-wide","DTF","CV2","2","1",0.5786
"M2","haplotype-tagged","DTF","CV2","2","1",0.589077777777778
"M3","haplotype-tagged","DTF","CV2","2","1",0.578555555555556
"M2","genome-wide","DTM","CV2","2","1",0.515655555555556
"M3","genome-wide","DTM","CV2","2","1",0.501844444444444
"M2","haplotype-tagged","DTM","CV2","2","1",0.499666666666667
"M3","haplotype-tagged","DTM","CV2","2","1",0.505955555555556
"M2","genome-wide","HSW","CV2","2","1",0.7564
"M3","genome-wide","HSW","CV2","2","1",0.751644444444444
"M2","haplotype-tagged","HSW","CV2","2","1",0.753188888888889
"M3","haplotype-tagged","HSW","CV2","2","1",0.754766666666667
"M2","genome-wide","PH","CV2","2","1",0.618633333333333
"M3","genome-wide","PH","CV2","2","1",0.623311111111111
"M2","haplotype-tagged","PH","CV2","2","1",0.6009
"M3","haplotype-tagged","PH","CV2","2","1",0.619133333333333
"M2","genome-wide","PPP","CV2","2","1",0.274022222222222
"M3","genome-wide","PPP","CV2","2","1",0.182733333333333
"M2","haplotype-tagged","PPP","CV2","2","1",0.221922222222222
"M3","haplotype-tagged","PPP","CV2","2","1",0.195388888888889
"M2","genome-wide","YPPlnt","CV2","2","1",0.154044444444444
"M3","genome-wide","YPPlnt","CV2","2","1",0.144133333333333
"M2","haplotype-tagged","YPPlnt","CV2","2","1",0.125522222222222
"M3","haplotype-tagged","YPPlnt","CV2","2","1",0.103844444444444
"M2","genome-wide","DTF","CV0","3","1",0.6452
"M3","genome-wide","DTF","CV0","3","1",0.64405
"M2","haplotype-tagged","DTF","CV0","3","1",0.64185
"M3","haplotype-tagged","DTF","CV0","3","1",0.63825
"M2","genome-wide","DTM","CV0","3","1",0.52755
"M3","genome-wide","DTM","CV0","3","1",0.53315
"M2","haplotype-tagged","DTM","CV0","3","1",0.535
"M3","haplotype-tagged","DTM","CV0","3","1",0.52685
"M2","genome-wide","HSW","CV0","3","1",0.7269
"M3","genome-wide","HSW","CV0","3","1",0.7269
"M2","haplotype-tagged","HSW","CV0","3","1",0.72575
"M3","haplotype-tagged","HSW","CV0","3","1",0.72455
"M2","genome-wide","PH","CV0","3","1",0.7151
"M3","genome-wide","PH","CV0","3","1",0.71425
"M2","haplotype-tagged","PH","CV0","3","1",0.70785
"M3","haplotype-tagged","PH","CV0","3","1",0.70675
"M2","genome-wide","PPP","CV0","3","1",0.32665
"M3","genome-wide","PPP","CV0","3","1",0.28325
"M2","haplotype-tagged","PPP","CV0","3","1",0.2733
"M3","haplotype-tagged","PPP","CV0","3","1",0.2623
"M2","genome-wide","YPPlnt","CV0","3","1",0.1279
"M3","genome-wide","YPPlnt","CV0","3","1",0.1299
"M2","haplotype-tagged","YPPlnt","CV0","3","1",0.11155
"M3","haplotype-tagged","YPPlnt","CV0","3","1",0.10865
"M2","genome-wide","DTF","CV00","3","1",0.28585
"M3","genome-wide","DTF","CV00","3","1",0.2645
"M2","haplotype-tagged","DTF","CV00","3","1",0.2136
"M3","haplotype-tagged","DTF","CV00","3","1",0.28845
"M2","genome-wide","DTM","CV00","3","1",0.27245
"M3","genome-wide","DTM","CV00","3","1",0.30155
"M2","haplotype-tagged","DTM","CV00","3","1",0.16125
"M3","haplotype-tagged","DTM","CV00","3","1",0.08445
"M2","genome-wide","HSW","CV00","3","1",0.6667
"M3","genome-wide","HSW","CV00","3","1",0.66585
"M2","haplotype-tagged","HSW","CV00","3","1",0.6219
"M3","haplotype-tagged","HSW","CV00","3","1",0.6626
